name,country,institution,links,expertise
Stijn Vansummeren,belgium,hasselt university,"Adriane Chapman,Ahmet Kara,Alberto Abelló,Alejandro Grez,Alessandro Margara,Alexander Artikis,Anastasios Kementsietsidis,Andrés Quintana,Anthony Finkelstein,Antonio Badia,Benjamin C. Pierce,Benny Kimelfeld,Bertram Ludäscher,Chee-Yong Chan,Cristian Riveros,Dan Olteanu,Danilo Valerio,Dieter Van de Craen,Dimitri Surinx,Dirk Leinders,Dirk Van Gucht,Domagoj Vrgoc,Edward L. Robertson,Egor V. Kostylev,Erik Agterdenbos,Esteban Zimányi,Fernando Florenzano,Frank Neven,François Picalausa,Frederick Reiss,Geert Jan Bex,George H. L. Fletcher,Giuseppe Castagna,Gottfried Vossen,Hannes Voigt,Haruo Hosoya,Iman Elghandour,James Cheney,Jan Hidders,Jan Van den Bussche,Jelle Hellings,Jonny Daenen,Lawrence V. Saxton,Liat Peterfreund,Marc Gyssens,Marcelo Arenas,Marco Bucchi,Margo I. Seltzer,Martín Ugarte,Matthias Weidlich,Muhammad Idris,Natalia Kwasnikowska,Nate Foster,Oscar Romero,Panos Vassiliadis,Paul De Bra,Peter Buneman,Ronald Fagin,Sergi Nadal,Stephen Chong,Thomas Eiter,Thomas Schwentick,Tony Tan,Toon Calders,Umut A. Acar,Victor Herrero,Véronique Benzaken,Wang Chiew Tan,Wim Martens,Wolfgang Lehner,Wouter Gelade,Xavier Franch,Yoav Nahshon,Yongming Luo,Yuqing Wu",10
Subarna Chatterjee,united states,harvard university,"Abdul Wasay,Ajoy Kumar Ray,Amit Kumar Mandal,Anuj Singh,Arijit Roy,Arindam Biswas,Brian Hentschel,Christine Morin,Demi Guo,Jhansi V. Setty,Kostas Zoumpatianos,Manmeet Singh Bhogal,Meena Jagadeesan,Mike S. Kester,Minseo Kang,Mohammad S. Obaidat,Niv Dayan,Prasenjit Bhavathankar,Rachit Daga,Rafael Ketsetsidis,Rajesh Kudupudi,Ranjana Ladia,Rezaul Karim,Samee U. Khan,Sanku Kumar Roy,Siqiang Luo,Stratos Idreos,Subhadeep Sarkar,Sudip Misra,Wilson Qin,Yiyou Sun",7
Sudip Roy,united states,cornell university,"Akshay Naresh Modi,Alon Y. Halevy,AmirAli Abdolrashidi,Amit Sabne,Anna Goldie,Arnd Christian König,Azalia Mirhoseini,Bailu Ding,Berkin Ilbeyi,Bjarke Roune,Blake A. Hechtman,Chiu Yuen Koo,Christof Angermueller,Christoph Koch,Christopher Olston,Chuan Yu Foo,Clemens Mewald,Daniel Lin-Kit Wong,Daniel Wong,Denis Baylor,Emily Caveness,Eric Breck,Eugene Brevdo,Flip Korn,Gabriel Bender,Hanxiao Liu,Heng-Tze Cheng,Hossein Hojjat,Igor Dvorkin,Jacques Pienaar,James Laudon,Jarek Wilkiewicz,Johannes Gehrke,Karthik Srinivasa Murthy,Ketan Mandke,Levent Koc,Lucja Kot,Lukasz Lew,Mangpo Phitchaya Phothilimtha,Manish Kumar,Martin Wicke,Martin Zinkevich,Max Willsey,Mayur Bubna,Mike Burrows,Milos Nikolic,Ming Zhong,Mustafa Ispir,Naresh Shenoy,Natalya Fridman Noy,Nate Foster,Neoklis Polyzotis,Nikhil Sarda,Nitin Gupta,Noah Fiedel,Paul Suganthan G. C.,Peter C. Ma,Phitchaya Mangpo Phothilimthana,Prakash Prabhu,Qiumin Xu,Rezsa Farahani,Salem Haykal,Samuel J. Kaufman,Shen Wang,Steven Euijong Whang,Steven Whang,Subhra Mazumdar,Sukriti Ramesh,Ulysse Beaugnon,Vihan Jain,Xin Zhang,Xinfeng Xie,Yanqi Zhou,Yichen Yang,Yisu Remy Wang,Yu Emma Wang,Yuanzhong Xu,Zakaria Haque,Zhuo Peng",10
Sudipto Das,united states,amazon web services,"Aaron J. Elmore,Adam Dziedzic,Adith Swaminathan,Alexander Pucher,Amitava Mukherjee,Amr El Abbadi,Andrija Jovanovic,Anup K. Ghosh,Arnd Christian König,Badrish Chandramouli,Bailu Ding,Ben Y. Zhao,Beng Chin Ooi,Bolin Ding,Colin W. Reid,Divyakant Agrawal,Feng Li,Gaoxiang Xu,Haitao Zheng,Hyunjung Park,Igor Ilic,Isidora Jovandic,Jingjing Wang,John McPherson,Kevin S. Beyer,Lin Ma,Maja Stikic,Manoj Syamala,Markus Pilman,Md. Rafiqul Islam,Miodrag Radulovic,Miroslav Grbic,Peter J. Haas,Philip A. Bernstein,Pranta Protik,Pritam Khan Boni,Rainer Gemulla,Rajesh Roy,Ryan Marcus,Shoji Nishimura,Shyam Antony,Surajit Chaudhuri,Vinod Kone,Vivek R. Narasayya,Wentao Wu,Xifeng Yan,Yannis Sismanis,Ömer Egecioglu",7
Tanmay Basu,united kingdom,"university of birmingham, uk","Abhishek Kalyan,Asit Kumar Das,C. A. Murthy,Georgios V. Gkoutos,Kuntal Ghosh,Late C. A. Murthy,Pawan Goyal,Priyanka Jayaswal,Sayanta Paul,Shraman Kumar,Shubhaditya Goswami,Siddhartha Jonnalagadda,Simon Goldsworthy,Sree Kalyani Jandhyala,Stephen Pettifer,Sukanya Pal,Swarup Chattopadhyay",6
Timos K. Sellis,australia,sut,"A. Kai Qin,A. S. M. Kayes,Abdur Forkan,Abdur Rahim Mohammad Forkan,Aggeliki Dimitriou,Ahsan Morshed,Ajmal Mian,Alejandro Jaimes,Alex Delis,Alexandra Meliou,Alexandros Biliris,Alfons Kemper,Alfredo Cuzzocrea,Alistair Moffat,Alkis Simitsis,Alon Y. Halevy,Amin Sadri,Amir Aryani,Anand Bhaskar,Anastasios Arvanitis,Anastasios Kementsietsidis,Anastasios Kyrillidis,Andrew U. Frank,André Gomes Regino,Andy Song,Angelic Goyal,Antonios Deligiannakis,Antonis Efandis,Apostolos Dollas,Apostolos Papadopoulos,Arezou Soltani Panah,Aris Tsois,Artemis G. Hatzigeorgiou,Asuman Dogac,Athman Bouguettaya,Avi Silberschatz,Azadeh Ghari Neiat,Babis Theodoulidis,Barbara Pernici,Bishwamittra Ghosh,Boris Novikov,Boyu Ruan,Boyu Zhang,Bruce I. Blum,Caslon Chua,Charu C. Aggarwal,Chengfei Liu,Chih-Chen Lin,Christian S. Jensen,Christian Sengstock,Christos Faloutsos,Christos Giannoukos,Cong Ma,Corey Jenkins,Costas Vassilakis,D. Tsirikos,Dana S. Nau,Danai Koutra,David B. Lomet,David J. DeWitt,David Maier,Dieter Gawlick,Dieter Pfoser,Dimitri Theodoratos,Dimitrios Georgakopoulos,Dimitrios Skoutas,Dimitrios Tsoumakos,Dimitris N. Metaxas,Dimitris Papadias,Dimitris Sacharidis,Dimos Bousounis,Doug Bradbrook,E. Knudsen,Eleni G. Christodoulou,Eli Katsiri,Elisa Bertino,Eljas Soisalon-Soininen,Emmanuel Stefanakis,Enrico Nardelli,Eric N. Hanson,Eric Simon,Erica Rosalina,Evangelos Koukis,Evi Kefallinou,Evmorfia Biliri,Farhad Zafari,Farhana Murtaza Choudhury,Federico Montori,Feifei Chen,Feng Xia,Feng Xie,Flora D. Salim,Flora Dilys Salim,Francesco Bonchi,Frank Ramsak,Gao Cong,George Baryannis,George I. Goumas,George Orfanoudakis,George Papastefanatos,George Prekas,George Tsatsanifos,Georgios Georgakilas,Georgios I. Goumas,Georgios Skoumas,Gerhard Weikum,Giorgos Giannopoulos,Giorgos Kokkinidis,Giorgos L. Papadopoulos,Gireeja Ranade,Grigoris Antoniou,Guanfeng Liu,Guangliang Gao,Gultekin Özsoyoglu,Guy M. Lohman,H. V. Jagadish,Hai Dong,Hai Le Vu,Haifeng Shen,Hanan Samet,Hans-Jörg Schek,Hans-Peter Kriegel,Hector Garcia-Molina,Heinz W. Schmidt,Hervé Panetto,Hong Pan,Hongyu Sun,Huai Liu,Hung Du,Ilias Kanellos,Ilias Tachmazidis,Iluju Kiringa,Imran Sohail,Ingmar Weber,Ioanna Tsalouchidou,Ioannis Kostalas,Iosif Lazaridis,Irene Moser,Isabelle Mirbel,Ivo Grosse,J. G. Hughes,J. Shane Culpepper,James Bailey,Jaroslav Pokorný,Jason Liew,Jeffrey Chan,Jeffrey D. Ullman,Jeffrey F. Naughton,Jeffrey Xu Yu,Jennifer Widom,Jianxin Li,Jie Cao,Jie Xiong,Jihoon Woo,Jim Gray,John Grant,John Liagouris,John Mylopoulos,John Yearwood,Joseph M. Hellerstein,Joy Zhang,Julio Kiyoshi Rodrigues Matsoui,Jun Shen,Junhao Gan,Junhu Wang,Jörg Sander,Júlio Cesar dos Reis,K. Staikos,Karl Aberer,Kate Caldecott,Katerina Gkirtzou,Kaysar Abdullah,Ke Deng,Kenneth A. Ross,Kewen Liao,Klaas-Jan Winkel,Klaus Elhardt,Konstantina Palla,Konstantinos Oikonomou,Kornilios Kourtis,Kostas Patroumpas,Kostis Pristouris,Kyriakos Mouratidis,Kyriakos Toumbas,Kyuseok Shim,L. Sinos,Laura M. Haas,Lefteris Sidirourgos,Lei Chen,Leo Mark,Leonard D. Shapiro,Les Kneebone,Liangjun Song,Lifang Wu,Lin Liu,Lishan Cui,Lluis Garcia Pueyo,Longkun Guo,Louiqa Raschid,Luciano Bononi,M. Tamer Özsu,M. Trafalis,Maarten de Rijke,Magdalini Eirinaki,Maher Manoubi,Mahjabin Nahar,Malú Castellanos,Manolis Koubarakis,Manolis Maragkakis,Manolis Terrovitis,Maria Kromida,Maria Krommyda,Maria Spichkova,Maria-Eirini Politou,Mario A. Nascimento,Mario Alviano,Marios Koniaris,Marios Papamichalis,Mark Reynolds,Mark Sanderson,Marta Poblet,Martin Gleditzsch,Martin L. Kersten,Martin Reczko,Masoomeh Zameni,Massimo Villari,Matt Duckham,Matthias Jarke,Matthias Renz,Max J. Egenhofer,Md. Saiful Islam,Mei Hsu,Meichun Hsu,Melina Skourla,Michael Hatzopoulos,Michael J. Carey,Michael J. Franklin,Michael J. Pazzani,Michael Lesk,Michael Mathioudakis,Michael Stonebraker,Michail Alexakis,Michalis Potamias,Michalis Vazirgiannis,Michel Scholl,Michele Missikoff,Mike P. Papazoglou,Ming-Sheng Quah,Mingzhao Li,Mohamed F. Mokbel,Mohammed Eunus Ali,Molly Megraw,Munkh-Erdene Yadamjav,Nafis Irtiza Tripto,Nectaria Tryfona,Nectarios Koziris,Nick Roussopoulos,Nikolaos G. Bourbakis,Nikos A. Lorentzos,Nikos Bikakis,Nikos Karayannidis,Nikos Kostoulas,Nikos Mamoulis,Nikos Sarkas,Nur Al Hasan Haldar,Oscar Pastor,Oshini Goonetilleke,Panagiotis Alexiou,Panagiotis Bouros,Panagiotis Georgiadis,Panayotis Tsanakas,Panos Vassiliadis,Patrick Valduriez,Pawel Placek,Pei-Wei Tsai,Peihuang Huang,Peter Widmayer,Philip A. Bernstein,Ping Zhang,Pompeu Casanovas,Prathyusha Senthil Kumar,Praveen Sethupathy,Prem Prakash Jayaraman,Qiang He,Rada Chirkova,Raghu Ramakrishnan,Rajiv Ranjan,Rakesh Agrawal,Ralf Hartmut Güting,Ravi Kumar,Raymond T. Ng,Renée J. Miller,Reynold Cheng,Reza Soltanpoor,Ricardo Baeza-Yates,Richard T. Snodgrass,Robert Fenk,Robert Meersman,Rodrigo Bonacin,Roelof van Zwol,Roland Pieringer,Ron G. van Schyndel,Rong-Hua Li,Ru-Mei Kung,Rudolf Bayer,Rui Zhang,S. C. Laufmann,S. Tserkezoglou,Sajib Mistry,Sajid Hasan Apon,Saket Sathe,Sakti P. Ghosh,Sam Burke,Sameera Jayaratna,Sarkar Snigdha Sarathi Das,Serge Abiteboul,Shadman Saqib Eusuf,Shamik Roy,Shane Joachim,Sharad Mehrotra,Sheng Wang,Shi Yan,Sophie Cluet,Sotiris Batsakis,Spiros Skiadopoulos,Spyros Ligoudistianos,Spyros Passas,Stanley B. Zdonik,Stefan Tsvetkov,Stefano Ceri,Stefanos Souldatos,Stelios Sartzetakis,Stratis Viglas,Stéphane Grumbach,Subrata Ghosh,Susan B. Davidson,Tao Cheng,Taotao Cai,Tariq Mahmood,Tarique Anwar,Th. Markousis,Thanasis Vergoulis,Thao P. Nghiem,Tharam S. Dillon,Theodore Dalamagas,Theodore Galanis,Theofanis Minogiannis,Timos Sellis,Ulf Brefeld,Umeshwar Dayal,Vanessa Murdock,Vassilis Christophides,Verena Kantere,Victor A. Simossis,Volker Markl,W. Bruce Croft,Wendy Hui Wang,Wenxing Zhu,Witold Litwin,Xi Chen,Xiangmin Zhou,Xiaochun Yang,Xiaolin Qin,Xiaoying Wu,Xin Cao,Xinjue Wang,Xiuzhen Zhang,Xue Li,Xuyun Zhang,Y. Stamati,Yan Jia,Yannis E. Ioannidis,Yannis Kouvaras,Yannis Manolopoulos,Yannis Stavrakas,Yannis Theodoridis,Yannis Vassiliou,Yannis Velegrakis,Yi Chen,Yiannis Vasileiou,Yong Xiang,Yong-Bin Kang,Yongli Ren,Yu Sun,Yu Zheng,Yuan-Fang Li,Yuk-Cheung Lee,Yunyun Deng,Zachary G. Ives,Zhen Ye,Zhenying He,Zheshan Hu,Zhiang Wu,Zhifeng Bao,Zhinoos Razavi Hesabi,Zhiyong Yu,Zografoula Vagena,Zoi Kaoudi",4
Ting Yu,qatar,qatar computing research institute,"Abdelhakim Hafid,Abhijat Sarma,Adam Hess,Adam J. Lee,Aijie Liu,Alexander G. Hauptmann,Andreas Koch,Anhui Wang,Anlong Xu,Anna Cinzia Squicciarini,Annie I. Antón,Apu Kapadia,Arthur Ieumwananonthachai,Bei Guan,Bei-Lok Hu,Benjamin W. Wah,Benxian Peng,Bhavani M. Thuraisingham,Bing Yu,Bingqiang Liu,Blanca Gallego,Boxiang Dong,Brian Yanoff,Brittany Corn,Bryan Smith,C. Greco,Cecilia M. Procopiuc,Chamath Keppitiyagama,Charith Elvitigala,Charles C. Zhang,Cheng-Ming Zhang,Chengjun He,Chengqi Zhang,Chris Dey,Chris P. Bradley,Christopher S. Gates,Chun-Shu Wei,Chun-Xun Lin,Cong Shi,Cui-Qin Dai,Dacheng Tao,Daniel Joseph Dean,Daniel Olmedilla,Dashan Gao,Dasong Peng,De Ma,Dejing Xu,Dexin Kong,Dhivya Sivasubramanian,Diandi Zhu,Divesh Srivastava,Donald Hamilton,Donald Stokes,Donghong Tian,Dongjin Yu,Dongjing Wang,Dongwon Lee,Elena A. Wood,Elisa Bertino,Enes Altinisik,Enfeng Qi,Ennan Zhai,Entong Shen,Euijin Choo,Evan Child,Evan Martin,Fangyu Deng,Farid Alborzi,Feng Pan,Fengqi Yu,Fulong Chen,Gang Hua,George Danezis,Gianfranco Doretto,Graham Cormode,Guangrui Huang,Guangzhi Chen,Guojun Li,H. V. Jagadish,Haipei Sun,Hairong Qi,Hale Kim,Han Wan,Han Yufei,Haoyu Wang,Harry Jiannan Wang,Heshan Lin,Hongwu Yin,Hongyu Zheng,Huadong Ma,Hui Wang,Huiyuan Fu,Hyrum Mills,Hyun Ah Jung,Issa Khalil,Issa M. Khalil,J. H. Eberly,J. Q. You,Jae Sue Choi,Jagan Srinivasan,Jared Jacobson,Jason E. Holt,Jeff Ashe,Jens Rittscher,Jeong Ah Kim,Jeremy Badcock,Ji Zhang,Ji-Won Byun,Ji-ping Liu,Jiajia Luo,Jian Liu,Jian Weng,Jianchun Jiang,Jiangtao Li,Jiangtian Li,Jianliang Gao,Jianwei Hu,Jianwei Niu,Jianxiao Ma,Jiaqi Chi,Jichao Wang,Jie Ding,Jing Chen,Jing Ma,Jing Shao,Jixu Chen,Jochen Lang,John K. Debenham,Joong-Hwan Baek,Jorge Lobo,Juan Du,Julian Oppermann,Julien Ugon,Jun Jing,Jun Xie,Jun Yu,Junpeng Guo,Juntao Liu,Junwei Liang,Kaihui Xu,Kaitlin Gili,Kedar A. Patwardhan,Keith Irwin,Kent E. Seamons,Kevin P. Murphy,Kevin W. Hamlen,Kuan-Jung Chiang,Kui Ren,Kun Duan,Laks V. S. Lakshmanan,Lei Chen,Lei Fu,Lei Wu,Leiming You,Leyi Wei,Li Guan,Liangliang Cao,Libo Deng,Lihua Sun,Lina Yu,Ling Chen,Ling Fan,Ling Liu,Linlin Hou,Liping Ding,Liu Chen,Longbing Cao,Lu Jiang,Lun-Pin Yuan,Magda Procopiuc,Manfred Lenzen,Marc Dacier,Marianne Winslett,Martin D. F. Wong,Masaki Nakanishi,Mashael Alsabah,Maximillian Stachura,Meng Lu,Mengchi Liu,Michael Halcrow,Michael Priebe,Michael Rabinovich,Mihai Christodorescu,Min Chi,Ming Yang,Ming-Ching Chang,Mingli Zhang,Mingshun Yang,Mingxuan Yuan,Mohamed Nabeel,Murat Kantarcioglu,Murillo Pontual,N. R. Ong,Nagiza F. Samatova,Nandini Nagraj,Nicholas L. Farnan,Nick Koudas,Nikita Borisov,Nils Krahnstoever,Ninghui Li,Ningyu He,Oliver Sinnen,Omar Chowdhury,Ou Wu,Owen Kaser,Pamela C. Cosman,Panos K. Chrysanthis,Peng Liu,Peng Ning,Peng Zhang,Pengcheng Xia,Pengyin Chen,Pengyuan Jiang,Peter H. Tu,Philip S. Yu,Phill-Kyu Rhee,Pradeep Paudel,Qi Tian,Qianbin Chen,Qianjun Tang,Qihua Wang,Qing Zhang,Qingming Huang,Qinyuan Feng,Qiqiang Xu,Quanzhen Ding,Rada Chirkova,Rade Stanojevic,Raghvendra Mall,Ram Nevatia,Ravindu De Silva,Renmin Han,Rick McMullen,Robert W. Proctor,Rong Chen,Ronggang Chen,Rui Xue,Rui Zhang,Ruiyi Zhang,Rujing Yao,Rupak Chatterjee,Ryan Jarvis,S. E. Rojcewicz,Sanjay Chawla,Sencun Zhu,Seny Kamara,Ser-Nam Lim,Shameem Ahamed Puthiya Parambath,Shangwu Chen,Shengfeng Huang,Shengqi Yang,Shu Yao,Shu-jing Wan,Shuigeng Zhou,Shuo Cai,Shuo Wang,Simeon J. Simoff,Srdjan Capkun,Su Hui Seong,Sudipto Guha,Sung Chun Lee,Sushil Jajodia,Tai-Peng Tian,Tao Wang,Tao Xie,Thomas Chan,Thomas Sebastian,Tianlei Zang,Tiantian Ma,Tieqiao Liu,Ting'an Li,Tony Jan,Tore Sundelin,Travis Leithead,Tsung-Wei Huang,Tzyy-Ping Jung,V. N. Venkatakrishan,Virgil D. Gligor,Vrinda Rajiv,Walter Dixon,Wanqing Li,Wei Wang,Wei Wei,Wei Yu,Wen Li,Wenbin Zhang,Wendy Hui Wang,Wenhua Li,Wenjun Hu,William Enck,William H. Winsborough,Wolfgang Nejdl,Xi Gong,XiaoFeng Wang,Xiaodong Gu,Xiaohui Gu,Xiaokui Xiao,Xiaoming Liu,Xiaonan Guo,Xiaopeng Gao,Xiaoping Liu,Xiaopu Sang,Xiaorun Li,Xiaosong Ma,Xiapu Luo,Xin Gao,Xin Wang,Xinfeng Lei,Xingqiang Lu,Xinhui Gao,Xinyu Liu,Xinyu Zhao,Xiuzhen Huang,Xuehan Xiong,Xuxian Jiang,Yafei Dai,Yan Sun,Yang Zhao,Yanjie Liang,Yanli Yang,Yann Le Gall,Yanpeng Cui,Yao Guo,Yi Guo,Yi Shang,Yi Yao,Yibing Zhan,Yide Ma,Yifan He,Yin Yang,Ying Wu,Yingchun Ye,Yingying Chen,Yong Wang,Yongjun Jia,Yonglong Luo,Yongmin Tan,Yuan Zhang,Yubo Zhang,Yuchao Feng,Yucheng Xie,Yuchun Feng,Yueting Zhuang,Yuhong Liu,Yuming Ou,Yun Zhang,Yuping Huang,Yury Zhauniarovich,Yusui Chen,Zach Jorgensen,Zengchao Mu,Zeyu Hu,Zhan Qin,Zhao Li,Zhaoyuan Fang,Zhen Liu,Zhen Wang,Zheng Chang,Zhenyuan Ji,Zhigui Lin,Zhimin Fan,Zhipeng Wang,Zhou Yu,Zhou Zhao,Zigang Xiao,Zirui Yue,Zongli Ruan,Zuoning Chen",3
Tingjian Ge,united states,university of massachusetts at lowell,"Aaron W. Keen,Alex Dekhtyar,Amrith Kumar,Beihong Jin,Benyuan Liu,Bo Tang,Chuck Bear,Chunyao Song,Cindy X. Chen,David Grabiner,Elisa Bertino,Fujun Liu,Fusang Zhang,Gail-Joon Ahn,Gregory D. Benson,Haiming Chen,Haixia Wu,Haoren Zhao,Haowen Zhang,Hong Kang,Hongyin Tang,Jennie Rogers,Jialun Cao,Jian Lu,Jiawen Guo,Jie Wang,Jie Xue,John Lifter,Judy Goldsmith,Justin T. Maris,Keyvan Sasani,Lijian Wan,Michael Stonebraker,Ming Yang,Mitch Cherniack,Mohammad Hossein Namaki,Mukesh Singhal,Nabil Hachem,Peng Lin,Qi Song,Qiancheng Peng,Qiang Ji,Ram Krishnan,Ravi S. Sandhu,Ronald A. Olsson,Samuel Madden,Santosh Chandrasekhar,Shan Wang,Shing-Chi Cheung,Stanley B. Zdonik,Stavros Harizopoulos,Swathi Kurunji,Taofeng Xue,Ugur Çetintemel,Wei Zhao,Xiaojie Yuan,Xinwen Fu,Xinzhou Dong,Xuanming Liu,Yan Li,Yan Luo,Yanling Cui,Yao Ge,Yeting Li,Yiling Zeng,Yinghui Wu,Yue Zhang,Yuting Xie,Zhao-Yang Wang,Zheng Fang,Zheng Li,Zhenyu Pan,Zhiwu Xu,Zhutian Lin",9
Verena Kantere,greece,national technical university of athens,"Adrian Daniel Popescu,Alexandros Kontarinis,Alkis Simitsis,Anastasia Ailamaki,Anastasios Kementsietsidis,Anastassios Nanos,Angelos Vasilakopoulos,Antonella Longo,Aris Tsois,Barbara Koch,Christos Mantas,Chung-Sheng Li,Damianos Chatziantoniou,Dan Zhao,Debabrata Dash,Dimitrios Skoutas,Dimitrios Tsoumakos,Dimitris Sacharidis,Dimos Bousounis,Frederica Darema,Gary B. Wills,George Orfanoudakis,Georgios Gratsias,Gregory McArthur,Grégory François,Herald Kllapi,Ilia Pietri,Iluju Kiringa,Ioannis Konstantinou,Ioannis Mytilinis,Jean-Henry Morin,John Mylopoulos,Katerina Doka,Katerina Stamou,Konstantina Palla,Konstantinos Lolos,Konstantinos Tsitseklis,Kostas Patroumpas,Kyriakos Mouratidis,Laurent d'Orazio,Maher Manoubi,Manolis Terrovitis,Marcelo Arenas,Maria Krommyda,Maria-Eirini Politou,Marinos Tzanikos,Mario A. Bochicchio,Mary Karatzoglidi,Maxim Filatov,Michael Georgiou,Michalis Potamias,Muthu Ramachandran,Muthu Ramanchadran,Nectarios Koziris,Nick Roussopoulos,Nikolaos Papailiou,Paraskevas Kerasiotis,QingQing Zhou,Renée J. Miller,Robert John Walters,Sofia Kyriakopoulou,Spiros Skiadopoulos,Symeon Papavassiliou,Timos K. Sellis,Trung-Dung Le,Vasileios Karyotis,Vasiliki Kantere,Vassilis Papaioannou,Victor Chang,Victor Giannakouris,Victor I. Chang,Víctor Méndez Muñoz,Yannis E. Ioannidis,Yannis Vassiliou",8
Verena Kantere,greece,national technical university of athens,"Adrian Daniel Popescu,Alexandros Kontarinis,Alkis Simitsis,Anastasia Ailamaki,Anastasios Kementsietsidis,Anastassios Nanos,Angelos Vasilakopoulos,Antonella Longo,Aris Tsois,Barbara Koch,Christos Mantas,Chung-Sheng Li,Damianos Chatziantoniou,Dan Zhao,Debabrata Dash,Dimitrios Skoutas,Dimitrios Tsoumakos,Dimitris Sacharidis,Dimos Bousounis,Frederica Darema,Gary B. Wills,George Orfanoudakis,Georgios Gratsias,Gregory McArthur,Grégory François,Herald Kllapi,Ilia Pietri,Iluju Kiringa,Ioannis Konstantinou,Ioannis Mytilinis,Jean-Henry Morin,John Mylopoulos,Katerina Doka,Katerina Stamou,Konstantina Palla,Konstantinos Lolos,Konstantinos Tsitseklis,Kostas Patroumpas,Kyriakos Mouratidis,Laurent d'Orazio,Maher Manoubi,Manolis Terrovitis,Marcelo Arenas,Maria Krommyda,Maria-Eirini Politou,Marinos Tzanikos,Mario A. Bochicchio,Mary Karatzoglidi,Maxim Filatov,Michael Georgiou,Michalis Potamias,Muthu Ramachandran,Muthu Ramanchadran,Nectarios Koziris,Nick Roussopoulos,Nikolaos Papailiou,Paraskevas Kerasiotis,QingQing Zhou,Renée J. Miller,Robert John Walters,Sofia Kyriakopoulou,Spiros Skiadopoulos,Symeon Papavassiliou,Timos K. Sellis,Trung-Dung Le,Vasileios Karyotis,Vasiliki Kantere,Vassilis Papaioannou,Victor Chang,Victor Giannakouris,Victor I. Chang,Víctor Méndez Muñoz,Yannis E. Ioannidis,Yannis Vassiliou",2
Vijay Gabale,india,huew,"Anand Prabhu Subramanian,Ashish Chiplunkar,Bhaskaran Raman,Chun-Yu Yang,Danai Chasaki,Dhananjay Kulkarni,Dilip Krishnaswamy,Fadel Adib,Jay Aikat,Jeet Patani,Jeffrey C. Mogul,John W. Byers,K. K. Ramakrishnan,Kameswari Chebrolu,Katrina LaCurts,László Gyarmati,Marc Mendonca,Marshini Chetty,Ming-Hung Chen,Mukundan Madhavan,Partha Dutta,Pawan Prakash,Praveen Yalagandula,Purushottam Kulkarni,Qi Liao,Ramakrishnan Kalyanaraman,Ramesh Gopalakrishnan,Ravi Bhoraskar,Ravi Kokku,Ravi Kothari,Romain Fontugne,Rupesh Mehta,S. H. Shah Newaz,Sagar Bijwe,Shivkumar Kalyanaraman,Trang Cao Minh,Uma Devi,Uma Sawant,UmaMaheswari Devi,Vinay Kolar,Yan Shvartzshnaider",1
Viktor Leis,germany,friedrich schiller university jena,"Adnan Alhomssi,Adrian Vogelsgesang,Alexander Beischl,Alexander van Renen,Alfons Kemper,Andreas Kipf,Andrew Pavlo,Andrey Gubichev,André Kohn,Atanas Mirchev,Bernhard Radke,Caetano Sauer,Carsten Binnig,David G. Andersen,Dimitri Vorona,Dominik Durner,Eva Zangerle,Florian Funke,Florian Scheibner,Gabriel Haas,Guido Moerkotte,Günther Specht,Harald Lang,Henrik Mühe,Huanchen Zhang,Hyeontaek Lim,Ismail Oukid,Jan Böttcher,Jan Finis,Jana Giceva,Jonas Müller,Josef Schmeißer,Kai-Uwe Sattler,Kan Kundhikanjana,Kazuichi Oe,Kimberly Keeton,Lilian Harada,Lucas Lersch,Lukas Vogel,Manuel Then,Margo I. Seltzer,Martin Pichl,Martina-Cezara Albutiu,Maximilian E. Schüle,Maximilian Kuschewski,Michael Haubenschild,Michael Kaminsky,Mitsuru Sato,Pascal Schliski,Peter A. Boncz,Philipp Fent,Philipp Götze,Pit Fender,Robert Binna,Satoshi Imamura,Stratos Idreos,Takushi Hashida,Thomas Hutzelmann,Thomas Kipf,Thomas Neumann,Tim Gubner,Timo Kersten,Tobias Mühlbauer,Tobias Rosenberger,Tobias Ziegler,Wolf Rödiger,Yoshiyasu Doi,Ziqi Wang",2
